Genre,Number_of_Titles
Documentary,159
Thriller,48
"Science Fiction",17
Horror,19
Mystery,3
Action,20
Comedy,86
Musical,9
Drama,105
Rom-Com,43
Romance,14
Anime,24
Interviews,9
"Variety Show",5
Supernatural,1
Biopic,10
Satire,4
"Concert Film",6
Historical,2
