Index,Accident_Severity,Accident Date,Latitude,Light_Conditions,District Area,Longitude,Number_of_Casualties,Number_of_Vehicles,Road_Surface_Conditions,Road_Type,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type
200701BS70284,Slight,6/6/2019,51.486624,Daylight,Kensington and Chelsea,-0.170958,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70285,Slight,31/05/2019,51.49566,Daylight,Kensington and Chelsea,-0.173766,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70286,Serious,5/6/2019,51.508706,Daylight,Kensington and Chelsea,-0.197455,1,2,Dry,Dual carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70287,Slight,16/06/2019,51.504851,Daylight,Kensington and Chelsea,-0.198183,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70288,Serious,3/6/2019,51.519667,Daylight,Hammersmith and Fulham,-0.226283,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70289,Slight,2/6/2019,51.499727,Daylight,Kensington and Chelsea,-0.163518,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70290,Slight,10/6/2019,51.488003,Daylight,Kensington and Chelsea,-0.167158,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70291,Serious,7/6/2019,51.490263,Daylight,Kensington and Chelsea,-0.16217,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70292,Slight,8/6/2019,51.515667,Daylight,Kensington and Chelsea,-0.205683,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70293,Slight,8/6/2019,51.496492,Daylight,Kensington and Chelsea,-0.169411,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70294,Slight,5/6/2019,51.498743,Darkness - lights lit,Kensington and Chelsea,-0.210382,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70297,Serious,13/06/2019,51.49375,Daylight,Westminster,-0.155115,1,3,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70298,Slight,13/06/2019,51.497138,Darkness - lights lit,Kensington and Chelsea,-0.159012,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle 125cc and under
200701BS70299,Serious,4/6/2019,51.494612,Darkness - lights lit,Kensington and Chelsea,-0.18735,1,2,Dry,Single carriageway,Urban,Fine + high winds,Motorcycle over 500cc
200701BS70300,Slight,10/6/2019,51.489787,Darkness - lights lit,Kensington and Chelsea,-0.195176,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70301,Slight,13/06/2019,51.515558,Daylight,Hammersmith and Fulham,-0.222118,1,1,Dry,Slip road,Urban,Fine no high winds,Car
200701BS70302,Slight,11/6/2019,51.509125,Daylight,Kensington and Chelsea,-0.195421,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70303,Slight,14/06/2019,51.493771,Daylight,Kensington and Chelsea,-0.173698,2,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70304,Slight,12/6/2019,51.494369,Daylight,Kensington and Chelsea,-0.200757,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70305,Slight,19/06/2019,51.519227,Daylight,Kensington and Chelsea,-0.215057,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70306,Slight,16/06/2019,51.484658,Daylight,Kensington and Chelsea,-0.165996,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70307,Slight,18/04/2019,51.489262,Daylight,Kensington and Chelsea,-0.190299,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70308,Slight,14/06/2019,51.487538,Daylight,Kensington and Chelsea,-0.195121,1,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70309,Slight,11/6/2019,51.486968,Daylight,Kensington and Chelsea,-0.169936,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70310,Slight,13/06/2019,51.500192,Daylight,Kensington and Chelsea,-0.211046,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70311,Slight,13/06/2019,51.493759,Daylight,Kensington and Chelsea,-0.17874,1,2,Dry,Single carriageway,Urban,Fine no high winds,Bus or coach (17 or more pass seats)
200701BS70312,Slight,18/06/2019,51.494267,Daylight,Kensington and Chelsea,-0.170941,1,2,Wet or damp,One way street,Urban,Fine no high winds,Car
200701BS70313,Slight,14/06/2019,51.485757,Darkness - lights lit,Kensington and Chelsea,-0.150108,3,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70314,Slight,22/05/2019,51.497053,Daylight,Kensington and Chelsea,-0.159303,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70315,Slight,17/06/2019,51.506781,Darkness - lights lit,Kensington and Chelsea,-0.206753,3,2,Dry,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70316,Slight,20/06/2019,51.488958,Darkness - lights lit,Kensington and Chelsea,-0.164959,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70317,Slight,18/06/2019,51.484276,Daylight,Kensington and Chelsea,-0.176093,1,1,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle over 500cc
200701BS70318,Slight,23/06/2019,51.483635,Darkness - lights lit,Kensington and Chelsea,-0.163876,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70319,Slight,13/06/2019,51.493285,Daylight,Kensington and Chelsea,-0.194606,1,2,Dry,One way street,Urban,Fine no high winds,Taxi/Private hire car
200701BS70320,Slight,15/06/2019,51.517336,Daylight,Kensington and Chelsea,-0.214843,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 50cc and under
200701BS70321,Slight,15/06/2019,51.51764,Daylight,Kensington and Chelsea,-0.205318,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70322,Slight,20/06/2019,51.507539,Daylight,Kensington and Chelsea,-0.209317,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70323,Slight,22/06/2019,51.52198,Daylight,Kensington and Chelsea,-0.212787,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70325,Slight,27/06/2019,51.497451,Daylight,Kensington and Chelsea,-0.167499,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70326,Slight,21/06/2019,51.49766,Daylight,Kensington and Chelsea,-0.19256,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70327,Slight,24/06/2019,51.494688,Daylight,Kensington and Chelsea,-0.192245,1,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70328,Slight,26/06/2019,51.496235,Daylight,Kensington and Chelsea,-0.170285,1,2,Dry,Single carriageway,Urban,Other,Car
200701BS70329,Slight,26/06/2019,51.50863,Daylight,Kensington and Chelsea,-0.198322,1,1,Dry,Dual carriageway,Urban,Fine no high winds,Motorcycle 125cc and under
200701BS70330,Slight,8/6/2019,51.489945,Daylight,Kensington and Chelsea,-0.170537,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70331,Serious,29/06/2019,51.526101,Daylight,Kensington and Chelsea,-0.211761,1,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Taxi/Private hire car
200701BS70332,Slight,13/03/2019,51.504054,Daylight,Hammersmith and Fulham,-0.216658,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70333,Slight,2/7/2019,51.493681,Daylight,Kensington and Chelsea,-0.179464,1,1,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70334,Slight,29/06/2019,51.496515,Daylight,Kensington and Chelsea,-0.205859,3,1,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 125cc and up to 500cc
200701BS70335,Slight,29/06/2019,51.488769,Daylight,Kensington and Chelsea,-0.193344,1,2,Dry,Single carriageway,Urban,Fine + high winds,Car
200701BS70336,Slight,26/06/2019,51.48567,Daylight,Kensington and Chelsea,-0.150255,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70337,Slight,19/06/2019,51.497073,Darkness - lights lit,Kensington and Chelsea,-0.183651,2,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Van / Goods 3.5 tonnes mgw or under
200701BS70338,Slight,2/7/2019,51.500012,Daylight,Kensington and Chelsea,-0.158752,1,2,Dry,Single carriageway,Urban,Fine no high winds,Motorcycle over 500cc
200701BS70339,Slight,1/7/2019,51.485266,Darkness - lights lit,Kensington and Chelsea,-0.181959,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Goods 7.5 tonnes mgw and over
200701BS70340,Slight,28/06/2019,51.510715,Daylight,Kensington and Chelsea,-0.205302,1,2,Dry,Single carriageway,Urban,Fine no high winds,Car
200701BS70341,Slight,24/06/2019,51.49456,Daylight,Kensington and Chelsea,-0.189801,2,3,Wet or damp,Dual carriageway,Urban,Raining no high winds,Motorcycle over 500cc
200701BS70343,Slight,3/7/2019,51.49981,Darkness - lights lit,Kensington and Chelsea,-0.163082,2,2,Wet or damp,Single carriageway,Urban,Fine no high winds,Car
200701BS70344,Slight,15/06/2019,51.491173,Daylight,Kensington and Chelsea,-0.18014,2,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Car
200701BS70345,Slight,30/06/2019,51.490791,Daylight,Kensington and Chelsea,-0.161428,1,2,Wet or damp,Single carriageway,Urban,Raining no high winds,Motorcycle 125cc and under
